flower_name	flower_id
石栎	flower_2337
杉科	flower_2338
香杉	flower_2339
木犀草	flower_2179
油棕	flower_2185
紫檀	flower_2190
小花鸢尾	flower_2192
香柚	flower_2340
龙爪槐	flower_2341
红叶椿	flower_2197
水杉	flower_2342
短柄忍冬	flower_1704
云雾忍冬	flower_1703
滇西忍冬	flower_1706
长花忍冬	flower_1702
鳞花草	flower_1355
嚏根草	flower_1073
香叶天竺葵	flower_2125
红花油茶	flower_941
猬实	flower_1422
腋花点地梅	flower_1405
堰虹桂	flower_2161
马络葵	flower_1325
山槐	flower_2206
黄玉兰花	flower_945
桑	flower_2210
红花木莲	flower_2211
蓝钟花	flower_2166
洋紫荆	flower_906
樱茅	flower_1071
赤太阳	flower_1495
白鲜	flower_1352
花笠丸	flower_1497
大花艳苞莓	flower_1522
菠菜菊	flower_1110
裴翠殿	flower_1943
魏紫	flower_1140
卜若地	flower_1338
火焰木	flower_1433
千波万波	flower_1472
瓦勒迈杉	flower_1920
阿里山龙胆	flower_1469
姬乱雪	flower_1921
桄榔	flower_1931
美花卷瓣兰	flower_1335
海南杜英	flower_1388
美叶凤尾蕉	flower_1872
莎叶兰	flower_953
江户紫	flower_1942
大苍角殿	flower_1939
蔓花生	flower_1456
矮樱	flower_1451
果香兰	flower_950
姬凤梨	flower_1937
水金英	flower_1116
垂花兰	flower_954
珊瑚铃	flower_1733
章鱼树	flower_1756
火星花	flower_1459
皇冠龙舌兰	flower_1794
紫花山柰	flower_1608
芜花	flower_2163
纹瓣兰	flower_956
蓝粉台阁	flower_1912
冬凤兰	flower_952
卤蕨	flower_2167
金荷	flower_1127
紫背草	flower_1252
星点秋海棠	flower_1332
瓣蕊唐松草	flower_1003
龟甲竹	flower_1940
小雪素	flower_1130
银合欢	flower_1421
皇后葵	flower_1935
振武玉	flower_1936
斯诺登水兰	flower_273
铁锤兰	flower_274
凝脂菊锦	flower_299
赏云	flower_339
翁柱	flower_201
条纹十二卷锦	flower_309
杜里万莲	flower_278
立田凤	flower_284
旋风麒麟	flower_199
库珀天锦章	flower_322
松虫	flower_301
银边四海波	flower_287
康兔子	flower_266
白花章鱼爪	flower_154
红稚儿	flower_207
紫章	flower_208
花叶寒月夜	flower_298
神玉	flower_155
角蜂眉兰	flower_240
两栖蓼	flower_1102
红花锦鸡儿	flower_993
红龙骨	flower_1902
龙海芋	flower_2276
红稚莲	flower_1938
流苏贝母兰	flower_1063
酒瓶椰子	flower_1930
扇蕨	flower_254
落叶兰	flower_951
四苞蓝属	flower_619
白花韧锦	flower_14
金钮	flower_338
紫瓶子草	flower_1860
荷花玉兰	flower_890
硬叶兰	flower_955
轮叶百合	flower_1228
鹅掌楸	flower_1366
江守玉	flower_167
姬牡丹	flower_30
落花之舞	flower_280
九轮塔	flower_289
白马城	flower_172
达摩绿塔	flower_1899
蓝花风铃木	flower_1411
黄雪光	flower_197
广布红门兰	flower_996
笋兰	flower_500
稠李	flower_561
多花兰	flower_423
紫纹兜兰	flower_418
宝华玉兰	flower_537
块根糙苏	flower_627
地中海蓝钟花	flower_539
斑舌兰	flower_399
双花堇菜	flower_1393
蓝盆花	flower_576
大狼毒	flower_1462
黄堇	flower_1400
黄绒毛兰	flower_467
中间锦鸡儿	flower_592
大花溲疏	flower_587
金红花	flower_579
香简草	flower_2119
莲叶点地梅	flower_1404
千鸟草	flower_128
卓越猪笼草	flower_968
画眉草	flower_270
黄日光兰	flower_488
田旋花	flower_1406
大百合	flower_1463
华凤仙	flower_584
金钮扣	flower_577
黄绿贝母兰	flower_405
花点草	flower_1458
狗娃花	flower_543
绒针	flower_192
紫王子	flower_1953
琉璃殿	flower_288
虹之玉锦	flower_337
红粉台阁	flower_1924
猩猩球	flower_1491
水青树	flower_1257
饭包草	flower_585
宝盖草	flower_112
微孔草	flower_1274
蜡牡丹	flower_159
蛇鞭菊	flower_1075
花盛球	flower_306
黄粉大叶报春	flower_1524
麦李	flower_1069
翅荚决明	flower_1417
铁骨素心兰	flower_1035
阿魏	flower_2072
毛茉莉	flower_1447
块茎银莲花	flower_340
兜状荷包牡丹	flower_639
块根蘑	flower_2077
翠雀	flower_547
韩信草	flower_1419
刺桐	flower_244
厚萼紫珠	flower_837
鲸鱼花	flower_71
