flower_name	flower_id
腋花点地梅	flower_1405
蓝钟花	flower_2166
麒麟火焰兰	flower_1403
花笠丸	flower_1497
大花艳苞莓	flower_1522
裴翠殿	flower_1943
千波万波	flower_1472
姬乱雪	flower_1921
桄榔	flower_1931
江户紫	flower_1942
大苍角殿	flower_1939
姬凤梨	flower_1937
矮樱	flower_1451
章鱼树	flower_1756
火星花	flower_1459
蓝粉台阁	flower_1912
振武玉	flower_1936
黄蝉兰	flower_166
凝脂菊锦	flower_299
翁柱	flower_201
条纹十二卷锦	flower_309
红卷绢	flower_295
旋风麒麟	flower_199
杜里万莲	flower_278
立田凤	flower_284
富士子宝	flower_217
库珀天锦章	flower_322
青鸟寿	flower_216
康兔子	flower_266
松虫	flower_301
春衣	flower_249
红稚儿	flower_207
白花章鱼爪	flower_154
松虫	flower_301
紫章	flower_208
神玉	flower_155
花叶寒月夜	flower_298
红龙骨	flower_1902
多肉京之华锦	flower_316
红稚莲	flower_1938
酒瓶椰子	flower_1930
鲁氏石莲花	flower_974
墨西哥珊瑚坠子	flower_1533
金钮	flower_338
神刀	flower_293
江守玉	flower_167
落花之舞	flower_280
九轮塔	flower_289
白马城	flower_172
黄雪光	flower_197
绿花红唇	flower_315
地中海蓝钟花	flower_539
蓝盆花	flower_576
大狼毒	flower_1462
金红花	flower_579
黄日光兰	flower_488
大花溲疏	flower_587
大百合	flower_1463
绒针	flower_192
花点草	flower_1458
管花杜鹃	flower_659
紫王子	flower_1953
琉璃殿	flower_288
虹之玉锦	flower_337
红粉台阁	flower_1924
饭包草	flower_585
御旗	flower_133
蜡牡丹	flower_159
花盛球	flower_306
白银寿	flower_214
毛茉莉	flower_1447
雨菊	flower_703
块茎银莲花	flower_340
瓶刷光萼荷	flower_656
千佛手	flower_294
块根蘑	flower_2077
藻铃玉	flower_58
福娘	flower_296
山木蓝	flower_1319
艳苞花	flower_620
花月夜	flower_1946
美丽莲	flower_3
长刺武藏野	flower_1496
韧锦	flower_173
三角琉璃莲	flower_218
松虫草	flower_1457
短毛球	flower_305
反折银宝树	flower_1527
