flower_name	flower_id
短梗狸藻	flower_2171
融齿捕蝇草	flower_2392
扁茎灯心草	flower_2393
山芥菜	flower_2394
日本血草	flower_2174
管花马兜铃	flower_2395
乌蕨	flower_2396
散尾棕	flower_2397
阿帝露茅膏菜	flower_2398
圆叶茅膏菜	flower_2178
红色食人鱼捕绳草	flower_2399
风铃猪笼草	flower_2182
狭叶红景天	flower_2400
长叶肾蕨	flower_2401
小瓶子草	flower_2188
腋花苋	flower_2191
金星蕨	flower_2402
异叶黄钟木	flower_2348
勺叶茅膏菜	flower_2403
峨眉雪胆	flower_2238
茅瓜	flower_2241
席草	flower_2244
米面翁	flower_2245
蛇根草	flower_2249
天竺子	flower_2250
软叶刺葵	flower_2195
挖耳草	flower_2251
隔山香	flower_2252
还阳参	flower_2253
细叶沿阶草	flower_2404
丁座草	flower_2405
水田芥	flower_2255
华丽龙胆	flower_2196
黑草	flower_2258
光慈菇	flower_2259
铁芒萁	flower_2406
红笼头菌	flower_2202
绵枣儿	flower_2261
地枇杷	flower_2407
艳红鹿子百合	flower_915
峨眉耳蕨	flower_2131
长叶茅膏菜	flower_2134
花叶豆瓣绿	flower_2143
叶仙人掌	flower_2140
花柱草	flower_913
夏蜡梅	flower_944
五节芒	flower_925
车轴草	flower_920
灯台百合	flower_1231
羽扇豆	flower_923
佛珠	flower_2150
大戟	flower_2263
白扣	flower_2264
千叶蓍	flower_943
嚏根草	flower_1073
虎掌草	flower_2265
大黄花	flower_921
食虫草	flower_2205
费利菊	flower_1076
蛇菰	flower_2267
大叶子	flower_2269
樱茅	flower_1071
大花夏枯草	flower_2213
蔓金腰	flower_2349
钝叶柃	flower_1294
临时救	flower_2215
海南杜英	flower_1388
莎叶兰	flower_953
果香兰	flower_950
垂花兰	flower_954
纹瓣兰	flower_956
金荷	flower_1127
紫背草	flower_1252
山莓	flower_2109
小雪素	flower_1130
连钱草	flower_1739
皇后葵	flower_1935
龙海芋	flower_2276
孔唇兰	flower_420
流苏贝母兰	flower_1063
扇蕨	flower_254
落叶兰	flower_951
硬叶兰	flower_955
七叶鬼灯檠	flower_2277
台兰	flower_1066
广布红门兰	flower_996
两头毛	flower_2278
百部	flower_1748
笋兰	flower_500
佛头玉	flower_176
泥花草	flower_1271
微孔草	flower_1274
宽叶吊兰	flower_1743
厚萼紫珠	flower_837
栗鳞贝母兰	flower_1062
多被银莲花	flower_2280
獐耳细辛	flower_2281
鳞托菊	flower_918
星叶草	flower_2351
黄花狸藻	flower_1322
大雪兰	flower_949
双蝴蝶	flower_1298
看麦娘	flower_2283
虎舌红	flower_269
垂枝藓	flower_95
富贵草	flower_1347
乳源木莲	flower_1111
苞舌兰	flower_1054
宽叶红门兰	flower_1341
岩须	flower_635
石龙芮	flower_2284
灰木莲	flower_1541
玉叶金花	flower_1297
盒子草	flower_2285
雨久花	flower_1362
莎草	flower_1778
钳唇兰	flower_1218
五脉绿绒蒿	flower_2286
彩叶芋	flower_1732
羊乳花	flower_617
麻栗坡兜兰	flower_1058
君子与淑女	flower_47
云南萝芙木	flower_1121
延龄草	flower_1154
云南大百合	flower_1344
蔓柳穿鱼	flower_1306
东非凤仙	flower_26
翠云草	flower_1901
紫萼	flower_1424
不凋花	flower_1783
忽地笑	flower_1476
多花指甲兰	flower_1595
白鹭花	flower_1466
紫萁	flower_1928
美国薄荷	flower_411
绿菊花	flower_2063
青岛百合	flower_2050
圆叶椒草	flower_1738
斑叶堇菜	flower_2294
匙唇兰	flower_471
豆豆兰	flower_13
照山白	flower_804
林泽兰	flower_827
剪夏罗	flower_1349
线柱兰	flower_1055
日本红枫	flower_1736
铁皇冠	flower_104
绿朱草	flower_1318
大花线柱兰	flower_978
萝芙木	flower_1790
素心兰	flower_430
松萝	flower_98
红鬼笔	flower_2301
水竹叶	flower_2302
观音竹	flower_1755
红姜花	flower_1262
北黄花菜	flower_2303
三星果藤	flower_1593
水石榕	flower_1225
麦仙翁	flower_1326
银扇草	flower_485
地宝兰	flower_1217
地钱	flower_96
红花石斛	flower_998
香花指甲兰	flower_1027
独丽花	flower_514
红宫廷	flower_82
杜鹃兰	flower_1219
换锦花	flower_667
见血封喉	flower_2308
耧斗花	flower_1247
猕猴桃	flower_766
捕虫堇	flower_1399
独占春	flower_473
瓶尔小草	flower_2309
大叶棕竹	flower_1774
牛皮消	flower_2310
独叶草	flower_1254
太平花	flower_510
千叶吊兰	flower_1781
花叶玉簪	flower_404
莎草兰	flower_821
带唇兰	flower_12
心叶球兰	flower_1558
红帝王	flower_1867
猫屎瓜	flower_2312
驴蹄草	flower_1339
彩叶吊兰	flower_10
瑞香	flower_123
娜丽花	flower_479
帝王贝母	flower_517
田紫草	flower_1272
高山毛兰	flower_1216
绿绒蒿	flower_1693
硬叶兜兰	flower_1078
杜若	flower_2227
黄水仙	flower_1312
带叶兜兰	flower_470
斑叶兰	flower_1836
足茎毛兰	flower_466
头花蓼	flower_1024
大叶莲花掌	flower_1791
舌唇兰	flower_64
空心泡	flower_462
花笼	flower_483
湿唇兰	flower_62
红球姜	flower_1291
桃叶珊瑚	flower_1771
玉凤兰	flower_504
葎草	flower_1821
白纹竹芋	flower_1918
神锦花	flower_24
美花兰	flower_508
冷杉	flower_800
水榕	flower_2061
六月霜	flower_449
一枝黄花	flower_1402
肉豆蔻	flower_108
补血草	flower_1265
开口箭	flower_832
青苹果竹芋	flower_1846
球根秋海棠	flower_628
驱蚊草	flower_1908
百叶草	flower_1974
贝母兰	flower_505
葫芦藓	flower_2317
婚纱吊兰	flower_1049
大叶吊兰	flower_1775
雪滴花	flower_41
肖竹芋	flower_147
拐枣	flower_771
小米草	flower_673
不老草	flower_2319
猪屎豆	flower_1264
尸香魔芋	flower_1026
雪花木	flower_1786
铁皮石斛	flower_2148
石上藕	flower_78
孔雀竹芋	flower_1925
春羽	flower_1917
绿宫廷	flower_83
彩虹竹芋	flower_2003
四季报春	flower_1689
蓝铃花	flower_1246
淡竹叶	flower_1185
绿霸王	flower_729
花贝母	flower_1334
多花野牡丹	flower_2326
落新妇	flower_1357
金钱蒲	flower_494
紫背竹芋	flower_1897
金钻	flower_1866
蛇莓	flower_842
蛇床	flower_1221
宋梅	flower_477
花叶芋	flower_1615
白雪公主	flower_1769
紫苑花	flower_1277
铁线蕨	flower_1964
爬山虎	flower_1818
凤尾蕨	flower_2016
风兰	flower_472
灯珠花	flower_57
紫金牛	flower_1788
非洲冰草	flower_2057
莫丝	flower_101
余蝴蝶	flower_476
狐尾藻	flower_84
石豆兰	flower_1077
蜜蜂兰	flower_61
万年青	flower_2019
金鱼吊兰	flower_127
碧光环	flower_328
粉掌	flower_475
龟背竹	flower_2004
矮珍珠	flower_2066
玉簪	flower_712
鸭掌木	flower_1370
六月雪	flower_714
马蹄金	flower_25
密叶朱蕉	flower_2039
叶下珠	flower_2054
紫边碧玉	flower_1847
茶荚蒾	flower_818
石仙桃	flower_2049
紫根兰	flower_1281
覆盆子	flower_137
文竹	flower_2029
金花茶	flower_578
多肉观音莲	flower_2025
曼珠沙华	flower_662
独脚金 	flower_2330
马蹄莲	flower_1653
绿帝王	flower_1876
藤三七	flower_1186
滴水观音	flower_1266
富贵竹	flower_2033
半枝莲	flower_1721
苦菜	flower_1260
常春藤	flower_2013
红掌	flower_1621
常青藤	flower_253
三七	flower_2333
红豆杉	flower_1888
建兰	flower_730
鲁冰花	flower_1442
淫羊藿	flower_2334
金钱草	flower_2000
人参果	flower_460
绿萝	flower_2036
金线莲	flower_1785
兰花	flower_622
莲花竹	flower_1900
黄芪	flower_1206
铜钱草	flower_368
