flower_name	flower_id
石碱草	flower_914
腋花点地梅	flower_1405
小丛红景天	flower_2266
白雪花	flower_926
堰虹桂	flower_2161
藏青果	flower_2268
马络葵	flower_1325
宽苞茅膏菜	flower_2236
彩云球	flower_2073
东野菰	flower_2270
樱茅	flower_1071
赤太阳	flower_1495
大花夏枯草	flower_2213
长鞭红景天	flower_2273
花笠丸	flower_1497
卜若地	flower_1338
火焰木	flower_1433
达乌里秦艽	flower_1280
临时救	flower_2215
桄榔	flower_1931
海南杜英	flower_1388
果香兰	flower_950
蔓花生	flower_1456
矮樱	flower_1451
水金英	flower_1116
章鱼树	flower_1756
火星花	flower_1459
芜花	flower_2163
蓝粉台阁	flower_1912
冬凤兰	flower_952
大花鸡肉参	flower_987
金荷	flower_1127
雾冰藜	flower_2275
瓣蕊唐松草	flower_1003
龟甲竹	flower_1940
水毒芹	flower_1473
小雪素	flower_1130
银合欢	flower_1421
赏云	flower_339
红卷绢	flower_295
立田凤	flower_284
春衣	flower_249
康兔子	flower_266
紫章	flower_208
两栖蓼	flower_1102
双翅舞花姜	flower_1607
红花锦鸡儿	flower_993
红龙骨	flower_1902
孔唇兰	flower_420
紫米粒	flower_2126
流苏贝母兰	flower_1063
酒瓶椰子	flower_1930
落叶兰	flower_951
鲁氏石莲花	flower_974
墨西哥珊瑚坠子	flower_1533
瑞云	flower_70
水车前	flower_1103
白花韧锦	flower_14
金钮	flower_338
神刀	flower_293
轮叶百合	flower_1228
七叶鬼灯檠	flower_2277
江守玉	flower_167
台兰	flower_1066
姬牡丹	flower_30
落花之舞	flower_280
白马城	flower_172
广布红门兰	flower_996
两头毛	flower_2278
笋兰	flower_500
多花兰	flower_423
块根糙苏	flower_627
双花堇菜	flower_1393
大狼毒	flower_1462
中间锦鸡儿	flower_592
金红花	flower_579
香简草	flower_2119
画眉草	flower_270
黄日光兰	flower_488
大百合	flower_1463
华凤仙	flower_584
田旋花	flower_1406
佛头玉	flower_176
金钮扣	flower_577
黄绿贝母兰	flower_405
花点草	flower_1458
管花杜鹃	flower_659
紫王子	flower_1953
虹之玉锦	flower_337
红粉台阁	flower_1924
猩猩球	flower_1491
水青树	flower_1257
银星	flower_1764
饭包草	flower_585
御旗	flower_133
泥花草	flower_1271
十字星锦	flower_5
微孔草	flower_1274
蛇鞭菊	flower_1075
花盛球	flower_306
黄粉大叶报春	flower_1524
铁骨素心兰	flower_1035
阿魏	flower_2072
兜状荷包牡丹	flower_639
花叶球兰	flower_1776
千佛手	flower_294
克鲁兹王莲	flower_1549
宽叶吊兰	flower_1743
海仙报春	flower_979
藻铃玉	flower_58
