flower_name	flower_id
金红花	flower_579
莲叶点地梅	flower_1404
金钮扣	flower_577
阿魏	flower_2072
韩信草	flower_1419
香榧	flower_836
宿根肋柱花	flower_1498
火绒草	flower_1449
独蒜兰	flower_588
青兰	flower_2053
水黄皮	flower_1292
紫堇	flower_164
地锦草	flower_1916
金粟兰	flower_440
厚皮香	flower_795
大花六道木	flower_412
驱蚊草	flower_1908
角蒿	flower_1416
黄玫瑰	flower_574
千兔耳	flower_1856
孔雀竹芋	flower_1925
常夏石竹	flower_435
仙人指	flower_1582
紫芳草	flower_482
也门铁	flower_1869
老鹳草	flower_1353
吸毒草	flower_464
夏威夷椰子	flower_424
三色堇	flower_2042
金鱼草	flower_267
迷迭香	flower_565
假昙花	flower_621
鸡血藤	flower_2070
松红梅	flower_549
半枝莲	flower_1721
兰花	flower_622
益母草	flower_1395
