flower_name	flower_id
小花鸢尾	flower_2192
水毛花	flower_2237
峨眉雪胆	flower_2238
翻白草	flower_2239
粘毛卷耳	flower_2240
茅瓜	flower_2241
金发草	flower_2242
透骨消	flower_2243
席草	flower_2244
苦丁茶	flower_2194
米面翁	flower_2245
石油菜	flower_2246
小鹿藿	flower_2247
糖芥	flower_2248
蛇根草	flower_2249
天竺子	flower_2250
挖耳草	flower_2251
隔山香	flower_2252
还阳参	flower_2253
荇菜	flower_2254
水田芥	flower_2255
牛尾草	flower_2256
华丽龙胆	flower_2196
鹿藿	flower_2257
黑草	flower_2258
光慈菇	flower_2259
金针花	flower_2260
绵枣儿	flower_2261
短柄忍冬	flower_1704
云雾忍冬	flower_1703
滇西忍冬	flower_1706
长花忍冬	flower_1702
毛草龙	flower_939
峨眉耳蕨	flower_2131
三弄芙蓉	flower_947
青荚叶	flower_931
木立芦荟	flower_2147
夏蜡梅	flower_944
苁蓉	flower_2262
电灯花	flower_928
金玉兰	flower_946
大戟	flower_2263
白扣	flower_2264
秋海棠花	flower_929
千叶蓍	flower_943
鳞花草	flower_1355
虎掌草	flower_2265
小丛红景天	flower_2266
蛇菰	flower_2267
藏青果	flower_2268
宽苞茅膏菜	flower_2236
山槐	flower_2206
桑	flower_2210
红花木莲	flower_2211
大叶子	flower_2269
白玫瑰	flower_916
东野菰	flower_2270
洋紫荆	flower_906
金钗石斛	flower_2149
唐松草	flower_2271
桂皮	flower_2272
长鞭红景天	flower_2273
白鲜	flower_1352
铁角蕨	flower_2132
八角茴香	flower_2274
菠菜菊	flower_1110
钝叶柃	flower_1294
火焰木	flower_1433
达乌里秦艽	flower_1280
临时救	flower_2215
姬乱雪	flower_1921
芜花	flower_2163
大花鸡肉参	flower_987
荷叶铁线蕨	flower_1734
紫背草	flower_1252
雾冰藜	flower_2275
瓣蕊唐松草	flower_1003
山莓	flower_2109
银合欢	flower_1421
连钱草	flower_1739
两栖蓼	flower_1102
红花锦鸡儿	flower_993
龙海芋	flower_2276
流苏贝母兰	flower_1063
扇蕨	flower_254
布福娜	flower_2105
轮叶百合	flower_1228
七叶鬼灯檠	flower_2277
鹅掌楸	flower_1366
广布红门兰	flower_996
两头毛	flower_2278
百部	flower_1748
稠李	flower_561
多花兰	flower_423
莳萝	flower_391
块根糙苏	flower_627
双花堇菜	flower_1393
大狼毒	flower_1462
金红花	flower_579
黄堇	flower_1400
莲叶点地梅	flower_1404
画眉草	flower_270
华凤仙	flower_584
香蜂花	flower_393
大百合	flower_1463
田旋花	flower_1406
金钮扣	flower_577
花点草	flower_1458
狗娃花	flower_543
罗布麻	flower_2279
鱼香叶	flower_1827
饭包草	flower_585
香雪兰	flower_899
三叶木通	flower_2112
宝盖草	flower_112
阳桃	flower_2098
微孔草	flower_1274
翅荚决明	flower_1417
毛茉莉	flower_1447
阿魏	flower_2072
宽叶吊兰	flower_1743
翠雀	flower_547
韩信草	flower_1419
油茶	flower_2155
刺桐	flower_244
云实	flower_1427
咬人猫	flower_260
夏至草	flower_2068
红花蕊木	flower_997
蓖麻	flower_1877
十万错	flower_1149
栗鳞贝母兰	flower_1062
多被银莲花	flower_2280
獐耳细辛	flower_2281
念珠藤	flower_853
日本鬼灯檠	flower_1314
半钟铁线莲	flower_1006
羊奶果	flower_2102
四季豆	flower_776
圆锥石头花	flower_932
小露兜	flower_773
云南七叶树	flower_2216
癞葡萄	flower_2094
琉璃草	flower_1273
鹅掌草	flower_994
锦香草	flower_439
华北耧斗菜	flower_1012
溪荪	flower_1092
荷叶椒草	flower_1814
麻叶绣线菊	flower_1047
幸福树	flower_2164
干花豆	flower_2282
黄花鸢尾	flower_1028
双蝴蝶	flower_1298
野山楂	flower_2111
美丽百合	flower_1233
看麦娘	flower_2283
头花千金藤	flower_1584
海芒果	flower_843
鲁菏红	flower_1141
虎舌红	flower_269
林檎	flower_802
滇紫草	flower_653
富贵草	flower_1347
乳源木莲	flower_1111
马蔺	flower_388
琉璃繁缕	flower_1379
节节花	flower_1455
海州常山	flower_222
肿柄菊	flower_1090
昂天莲	flower_1096
花南星	flower_268
桉树花	flower_560
香榧	flower_836
响叶杨	flower_1171
白千层	flower_87
金缕梅	flower_1437
猩猩草	flower_1303
赤杨	flower_1800
堆心菊	flower_1091
苞舌兰	flower_1054
宽叶红门兰	flower_1341
岩须	flower_635
一枝香	flower_261
通泉草	flower_1377
石龙芮	flower_2284
枫香	flower_521
玉叶金花	flower_1297
过沟菜蕨	flower_1967
匍枝毛茛	flower_984
中国芦荟	flower_2139
菠萝莓	flower_1200
刺槐	flower_69
平车前	flower_2219
火焰兰	flower_221
鸡爪兰	flower_1166
杧果 	flower_768
假苹婆	flower_226
盒子草	flower_2285
鬼灯檠	flower_1244
橙红茑萝	flower_1005
侧金盏花	flower_175
欧芹	flower_392
雨久花	flower_1362
醉碟草	flower_959
大白杜鹃	flower_999
狐尾三叶草	flower_1538
牛至	flower_395
荷青花	flower_1290
桂花果	flower_789
千层金	flower_2060
红瑞木	flower_849
鹿葱	flower_1204
四裂红景天	flower_2221
亳菊	flower_416
指甲兰	flower_524
天女花	flower_538
扬州琼花	flower_397
红鸡蛋花	flower_220
五脉绿绒蒿	flower_2286
菜蓟	flower_1385
糯米条	flower_1296
樱桃	flower_2091
彩叶芋	flower_1732
大花老鸦嘴	flower_1208
尤加利	flower_1754
倒提壶	flower_1275
齿缘吊钟花	flower_1002
香堇	flower_1394
兜唇石斛	flower_1016
麝香百合	flower_1580
竹叶兰	flower_120
海仙花	flower_980
红花荷	flower_690
雪下红	flower_2287
灯台树	flower_1198
荠苨	flower_1117
小二仙草	flower_2288
宿根肋柱花	flower_1498
高斑叶兰	flower_1553
嘉兰	flower_567
羊乳花	flower_617
火绒草	flower_1449
宿根白酒草	flower_623
蓝丁香	flower_486
白鹤草	flower_1468
扶芳藤	flower_1808
单瓣黄刺玫	flower_1000
直立百部	flower_1770
雁来红	flower_1911
龙葵果	flower_2153
云南萝芙木	flower_1121
大胡红	flower_1033
白花泡桐	flower_1540
烈香茶花	flower_1115
光叶蔷薇	flower_434
延龄草	flower_1154
火烧花	flower_1415
斑种草	flower_1163
花菱草	flower_1423
云南大百合	flower_1344
闭鞘姜	flower_1311
碎米桠	flower_2289
白玉草	flower_636
牛角瓜	flower_2290
淡红忍冬	flower_1708
南烛	flower_1328
蝙蝠草	flower_1779
小叶栀子	flower_387
波斯婆婆纳	flower_1475
马利筋	flower_544
假酸浆	flower_844
望江南	flower_1454
花木蓝	flower_496
宽叶十万错	flower_1150
阿勃勒	flower_668
金银木	flower_512
霍香蓟	flower_1414
翠云草	flower_1901
紫露草	flower_526
首案红	flower_1139
黄桷兰	flower_958
泽兰	flower_1452
火烧兰	flower_161
马鞍藤	flower_1099
赪桐	flower_1087
漏斗菜	flower_1577
紫萼	flower_1424
白毛蛇	flower_141
甘露子	flower_1383
山柳兰	flower_1336
老鸦嘴	flower_1209
苍耳	flower_2291
荚果蕨	flower_1968
短毛独活	flower_2292
忽地笑	flower_1476
杠柳	flower_1021
花荵	flower_1300
海石竹	flower_224
白鹭花	flower_1466
紫萁	flower_1928
瞿麦	flower_1585
谷精草	flower_125
红花龙胆	flower_970
软枝黄蝉	flower_1152
蛇目菊	flower_702
尾穗苋	flower_1367
梅花草	flower_641
岩生忍冬	flower_1488
秀丽槭	flower_1101
大滨菊	flower_1464
播娘蒿	flower_2293
湖北海棠	flower_1015
野牡丹	flower_555
水金凤	flower_1350
苦地丁	flower_2152
卷丹百合	flower_478
斑叶堇菜	flower_2294
匙唇兰	flower_471
网球花	flower_72
照山白	flower_804
活血丹	flower_1428
人面子	flower_1387
猪殃殃	flower_2295
白芷	flower_2296
点地梅	flower_551
紫苜蓿	flower_1378
附地菜	flower_1372
蟛蜞菊	flower_707
百脉根	flower_1288
山指甲	flower_408
木荷	flower_414
二乔木兰	flower_1011
黑种草	flower_491
芫花	flower_1081
桑葚	flower_2113
独蒜兰	flower_588
西洋甘菊	flower_708
林泽兰	flower_827
凤眼莲	flower_1431
剪夏罗	flower_1349
玫瑰石蒜	flower_1248
风毛菊	flower_2297
锦葵	flower_580
蓍草	flower_1109
还亮草	flower_581
烟火树	flower_640
鳞毛蕨	flower_2078
金露梅	flower_1224
结香	flower_233
澳洲火焰木	flower_1413
大花威灵仙	flower_1009
