flower_name	flower_id
黄金藤	flower_1731
钻石翡翠吊兰	flower_2085
藤蔓	flower_1737
松萝凤梨	flower_396
蔓性风铃花	flower_9
大叶吊兰	flower_1775
彩叶吊兰	flower_10
千叶吊兰	flower_1781
天门冬	flower_16
银心吊兰	flower_1844
马蹄金	flower_25
白蔓荷包牡丹	flower_1278
小白兔狸藻	flower_49
狗尾红	flower_1356
胡枝子	flower_1358
黑眼苏珊	flower_1359
空气凤梨	flower_99
红雀珊瑚	flower_114
串铃花	flower_121
吊竹梅	flower_136
鸭跖草	flower_1389
厚萼凌霄	flower_138
爆仗竹	flower_527
茜草	flower_1896
锦灯笼	flower_156
串钱藤	flower_205
钱串景天	flower_206
珊瑚藤	flower_1420
悬铃花	flower_1425
红蓼	flower_227
锦鸡儿	flower_228
蝴蝶兰花	flower_231
花叶络石	flower_1434
络石	flower_234
红千层	flower_235
锦带花	flower_558
五爪金龙	flower_1438
宫灯百合	flower_243
棣棠花	flower_1445
炮仗花	flower_1446
金樱子	flower_245
苹婆	flower_246
橄榄花	flower_850
毛蟹爪兰	flower_566
喜林芋	flower_1909
吊灯花	flower_248
藤茄	flower_569
常青藤	flower_253
鹿角蕨	flower_256
菠萝蜜	flower_257
万带兰	flower_262
凌霄花	flower_263
金鱼草	flower_267
还亮草	flower_581
翡翠景天	flower_302
新玉缀	flower_303
玉珠帘	flower_313
瓜蒌	flower_1474
爱之蔓	flower_318
白牡丹	flower_1950
紫弦月	flower_1485
假昙花	flower_621
红玉藤	flower_1512
垂盆草	flower_1517
碧玉藤	flower_633
鹦喙花	flower_637
四季桔	flower_872
常春藤	flower_2013
冷水花	flower_2014
蔷薇	flower_734
飞燕草	flower_381
