flower_name	flower_id
槟榔	flower_2086
香瓜	flower_2087
哈密瓜	flower_2088
榴莲	flower_2089
莽吉柿	flower_2090
樱桃	flower_2091
豆薯	flower_2092
雪莲果	flower_2093
癞葡萄	flower_2094
番茄	flower_764
紫甘蓝	flower_2095
菠萝释迦	flower_2096
黄晶果	flower_2097
阳桃	flower_2098
含羞果	flower_2099
火星果	flower_2100
麒麟果	flower_2101
羊奶果	flower_2102
牛卵坨	flower_2103
香如蜜	flower_2104
布福娜	flower_2105
龙功果	flower_2106
番薯	flower_2107
蛇果	flower_2108
山莓	flower_2109
刺梨	flower_2110
野山楂	flower_2111
三叶木通	flower_2112
桑葚	flower_2113
香蕉	flower_2114
火龙果	flower_2115
苹果	flower_2116
猕猴桃	flower_766
椰子	flower_767
番荔枝	flower_778
黄刺玫	flower_1084
虎纹凤梨	flower_801
开心果树	flower_22
娃娃梨	flower_2117
鸡爪梨	flower_813
花楸	flower_823
仙人镜	flower_2051
多肉紫牡丹	flower_35
美丽茶藨子	flower_829
马约兰	flower_1854
非洲冰草	flower_2057
苦糖果	flower_498
百香果	flower_59
香果兰	flower_503
红鳞蒲桃	flower_77
地钱	flower_96
香榧	flower_836
紫苏	flower_1887
山竹	flower_117
朱兰	flower_838
甘露子	flower_1383
菜蓟	flower_1385
人心果	flower_840
覆盆子	flower_137
薄荷	flower_529
假酸浆	flower_844
假苹婆	flower_226
地黄	flower_845
梨花	flower_556
葛根花	flower_846
油菜花	flower_847
萱草	flower_1443
玫瑰茄	flower_562
金樱子	flower_245
苹婆	flower_246
橄榄花	flower_850
牛油果	flower_855
菊花	flower_600
瓜蒌	flower_1474
神秘果	flower_613
钙果	flower_614
龙骨花	flower_859
块根蘑	flower_2077
球茎茴香	flower_860
球茎甘蓝	flower_861
番杏	flower_1511
落葵	flower_2118
菊苣	flower_1525
水蕨	flower_1965
玉竹	flower_1531
蜂斗菜	flower_1532
菊芋	flower_1544
鹅莓	flower_865
荠菜	flower_1983
柠檬	flower_711
西瓜	flower_867
四季桔	flower_872
佛手	flower_365
铜钱草	flower_368
枇杷	flower_874
杏花	flower_875
梅花	flower_744
诸葛菜	flower_882
向日葵	flower_1724
