flower_name	flower_id
短梗狸藻	flower_2171
疯人果	flower_2373
小瓶子草	flower_2188
紫檀	flower_2190
天竺子	flower_2250
还阳参	flower_2253
奇异君子兰	flower_2376
沼泽君子兰	flower_2382
美杜莎捕虫树	flower_2200
红笼头菌	flower_2202
长叶茅膏菜	flower_2134
夏蜡梅	flower_944
苁蓉	flower_2262
金玉兰	flower_946
毛毡苔	flower_2135
食虫草	flower_2205
费利菊	flower_1076
麒麟火焰兰	flower_1403
阿里山龙胆	flower_1469
娃娃梨	flower_2117
冬凤兰	flower_952
孔唇兰	flower_420
布福娜	flower_2105
香蕉	flower_2114
笋兰	flower_500
多花兰	flower_423
绿花红唇	flower_315
斑舌兰	flower_399
千鸟草	flower_128
佛头玉	flower_176
三叶木通	flower_2112
翅荚决明	flower_1417
宽叶皇冠	flower_1753
龙沙宝石	flower_894
小蓝兔狸藻	flower_42
花南星	flower_268
双色茉莉	flower_398
蓝石蒜	flower_1249
富士	flower_297
天女花	flower_538
粉蝶花	flower_532
苹果	flower_2116
松萝凤梨	flower_396
小花龙舌兰花	flower_320
豆豆兰	flower_13
大扁竹兰	flower_541
小叶紫檀	flower_390
紫番红花	flower_559
杏	flower_2224
白英	flower_856
钙果	flower_614
独丽花	flower_514
石山桂	flower_1036
橄榄	flower_2344
独占春	flower_473
黄瓶子草	flower_351
白蝶兰	flower_162
鹿角蕨	flower_256
白斑玉露	flower_210
美吉寿	flower_36
宝莲花	flower_595
蓝蝴蝶	flower_144
玉凤兰	flower_504
桫椤	flower_1966
马醉木	flower_1530
毛蟹爪兰	flower_566
紫背万年青	flower_1801
宫灯百合	flower_243
哈密瓜	flower_2088
百叶草	flower_1974
凤凰木	flower_236
路易十四玫瑰	flower_456
露松	flower_2082
意大利红门兰	flower_66
马钱子	flower_1167
香瓜	flower_2087
小红嘴	flower_34
锁阳	flower_2324
槟榔	flower_2086
翡翠珠	flower_370
鸢尾兰	flower_134
白鸟	flower_1243
风兰	flower_472
神秘果	flower_613
桃美人	flower_369
余蝴蝶	flower_476
大花蕙兰	flower_1625
球根海棠	flower_728
小白兔狸藻	flower_49
樱水晶	flower_50
玉树花	flower_1410
毛樱桃	flower_793
荔枝	flower_774
玫瑰茄	flower_562
红星凤梨	flower_572
蒂亚	flower_51
虎尾兰	flower_2038
蝴蝶兰	flower_1618
猴面小龙兰	flower_241
五指毛桃	flower_2335
金线莲	flower_1785
山地玫瑰	flower_271
藏红花	flower_1439
昙花	flower_1646
