flower_name	flower_id
地中海蓝钟花	flower_539
黄日光兰	flower_488
花叶球兰	flower_1776
山木蓝	flower_1319
泥鳅掌	flower_183
幌菊	flower_531
美丽异木棉	flower_839
姬胧月锦	flower_109
海妖女狸藻	flower_1333
红边椒草	flower_1825
将军阁	flower_181
吹雪柱	flower_184
黄金钮	flower_185
姬将军	flower_179
紫番红花	flower_559
心叶藤	flower_1890
金星	flower_129
王玉珠帘	flower_215
独丽花	flower_514
夕映爱	flower_1784
带唇兰	flower_12
彩叶吊兰	flower_10
乙女心	flower_2015
葡萄风信子	flower_540
惠比须笑	flower_178
桃之卵	flower_1858
舌唇兰	flower_64
新几内亚凤仙	flower_1023
留兰香	flower_533
美花兰	flower_508
白花小松	flower_2010
青苹果竹芋	flower_1846
球根秋海棠	flower_628
金钱兜	flower_1853
大叶吊兰	flower_1775
立金花	flower_1235
菜豆树	flower_1409
红网纹草	flower_1805
孔雀竹芋	flower_1925
螺纹铁	flower_1331
女雏	flower_177
变叶木	flower_2027
鸢尾兰	flower_134
红背椒草	flower_40
五彩红星	flower_1619
灯珠花	flower_57
非洲冰草	flower_2057
南洋杉	flower_1996
也门铁	flower_1869
彩叶草	flower_363
平安树	flower_1893
小白兔狸藻	flower_49
金鱼吊兰	flower_127
散尾葵	flower_2021
粉掌	flower_475
秋海棠	flower_661
一叶兰	flower_1634
八角金盘	flower_1633
凤梨花	flower_1499
金钱树	flower_139
竹芋	flower_1839
仙客来	flower_761
白鹤芋	flower_1658
绿帝王	flower_1876
芦荟	flower_2002
薄荷	flower_529
牡丹	flower_1696
豆瓣绿	flower_371
常春藤	flower_2013
四季海棠	flower_382
康乃馨	flower_599
山竹	flower_117
玫瑰	flower_735
发财树	flower_380
