flower_name	flower_id
红笼头菌	flower_2202
峨眉耳蕨	flower_2131
花叶豆瓣绿	flower_2143
桃蛋	flower_2154
铁角蕨	flower_2132
瓦勒迈杉	flower_1920
扇蕨	flower_254
塔松	flower_2156
块根蘑	flower_2077
念珠藤	flower_853
真柏	flower_1747
垂枝藓	flower_95
龙鳞榈	flower_1934
过沟菜蕨	flower_1967
富士	flower_297
连珠蕨	flower_255
波浪椒草	flower_1971
翠云草	flower_1901
荚果蕨	flower_1968
紫萁	flower_1928
波浪草	flower_1972
圆叶椒草	flower_1738
铁皇冠	flower_104
银海枣	flower_1933
心叶藤	flower_1890
红鬼笔	flower_2301
香龙血树	flower_1868
蕨草	flower_1927
地钱	flower_96
螺旋藓苔	flower_2225
神想曲	flower_2056
红宫廷	flower_82
筒叶花月	flower_1945
瓶尔小草	flower_2309
红帝王	flower_1867
鳳凰蕨	flower_1914
鹿角蕨	flower_256
麒麟掌	flower_285
银叶睡布袋	flower_152
桫椤	flower_1966
白纹竹芋	flower_1918
神锦花	flower_24
水榕	flower_2061
水蕨	flower_1965
鸟巢蕨	flower_356
百叶草	flower_1974
银皇后	flower_1998
黑兔耳	flower_1855
葫芦藓	flower_2317
澳洲杉	flower_1832
人参榕	flower_1831
绿球藻	flower_2064
彩虹竹芋	flower_2003
蜈蚣草	flower_1976
金钻	flower_1866
白雪公主	flower_1769
地毯草	flower_1982
铁线蕨	flower_1964
凤尾蕨	flower_2016
鹿角苔	flower_2065
莫丝	flower_101
宝塔草	flower_2080
肾蕨	flower_355
橡皮树	flower_2026
玉露 	flower_1509
矮珍珠	flower_2066
喜林芋	flower_1909
波斯顿蕨	flower_1910
狼尾蕨	flower_140
卷柏	flower_357
转运竹	flower_148
绿萝	flower_2036
莲花竹	flower_1900
竹子	flower_1989
