flower_name	flower_id
长叶茅膏菜	flower_2134
食虫草	flower_2205
洋紫荆	flower_906
虾衣花	flower_74
小蓝兔狸藻	flower_42
白千层	flower_87
一枝香	flower_261
嘉德兰	flower_568
玉唇花	flower_571
竹叶兰	flower_120
香水草	flower_550
云南萝芙木	flower_1121
牛角瓜	flower_2290
霍香蓟	flower_1414
蒂牡花	flower_1120
希茉莉	flower_1156
二齿猪笼草	flower_353
丝叶狸藻	flower_1323
四季兰	flower_384
荆豆花	flower_1135
台湾竹	flower_89
长刺白龙丸	flower_1369
萝芙木	flower_1790
紫雪茄花	flower_1180
香彩雀	flower_90
马来王猪笼草	flower_354
三星果藤	flower_1593
爆仗竹	flower_527
悬铃花	flower_1425
白花夹竹桃	flower_407
四季杜鹃	flower_1050
火箭球兰	flower_1556
黑眼花	flower_1287
羽叶薰衣草	flower_410
白花羊蹄甲	flower_685
黄金凤	flower_1348
彩春峰	flower_168
木百合	flower_1480
金苞花	flower_618
吊灯扶桑	flower_1004
红雀珊瑚	flower_114
大卫·奥斯丁玫瑰	flower_672
熊耳草	flower_1259
蓝星花	flower_1212
香菊	flower_453
红背桂	flower_731
黄槐	flower_688
琴叶珊瑚	flower_554
地涌金莲	flower_709
杰拉尔顿腊花	flower_451
吊灯花	flower_248
火殃勒	flower_1602
雪茄花	flower_1179
红花酢浆草	flower_1201
藿香蓟	flower_1683
佛肚树	flower_1048
路易十四玫瑰	flower_456
大花假虎刺	flower_443
茶花凤仙	flower_1174
日香桂	flower_754
非洲紫罗兰	flower_655
巴西野牡丹	flower_1155
细叶君子兰	flower_1082
比利时杜鹃	flower_1631
角堇	flower_593
虎刺梅	flower_1441
夹竹桃	flower_724
扶桑花	flower_1719
水培红掌	flower_1202
月月桂	flower_755
倒挂金钟	flower_1194
小白兔狸藻	flower_49
马樱丹	flower_1435
杜鹃红山茶	flower_1184
粉掌	flower_475
金毛狗蕨	flower_142
蔓性风铃花	flower_9
朱槿	flower_1697
非洲菊	flower_1545
美人蕉	flower_715
四季桂	flower_759
七里香花	flower_446
长春花	flower_564
嘉宝果	flower_454
月季	flower_749
对兰	flower_534
红掌	flower_1621
曼陀罗花	flower_1560
四季桔	flower_872
猴面小龙兰	flower_241
兰花	flower_622
