flower_name	flower_id
杜里万莲	flower_278
神玉	flower_155
神刀	flower_293
落花之舞	flower_280
章鱼	flower_279
一枝香	flower_261
垂花水塔花	flower_629
白闪冠	flower_277
吹雪柱	flower_184
快刀乱麻	flower_292
花毛莨'	flower_548
黛比	flower_283
宿根霞草	flower_624
彩叶凤梨	flower_258
丹尼斯凤梨	flower_630
麒麟掌	flower_285
白脉椒草	flower_1813
地锦草	flower_1916
飘带兜兰	flower_1086
苹果桉	flower_450
龙骨花	flower_859
万带兰	flower_262
白花小松	flower_2010
球根秋海棠	flower_628
倒地铃	flower_830
海娜花	flower_417
素馨花	flower_429
女雏	flower_177
荷兰铁	flower_1864
半夏	flower_113
紫凤梨	flower_1620
白兰	flower_1717
玉龙观音	flower_403
黄毛掌	flower_32
吸毒草	flower_464
罗勒	flower_455
洋桔梗	flower_1188
龙舌兰	flower_1907
竹芋	flower_1839
迷迭香	flower_565
红星凤梨	flower_572
假昙花	flower_621
雪莲	flower_1376
碰碰香	flower_314
仙人掌	flower_373
兰花	flower_622
