flower_name	flower_id
彩云球	flower_2073
赤太阳	flower_1495
花笠丸	flower_1497
裴翠殿	flower_1943
千波万波	flower_1472
姬乱雪	flower_1921
金荷	flower_1127
振武玉	flower_1936
凝脂菊锦	flower_299
翁柱	flower_201
条纹十二卷锦	flower_309
红卷绢	flower_295
杜里万莲	flower_278
旋风麒麟	flower_199
立田凤	flower_284
富士子宝	flower_217
圣王丸	flower_92
赏云	flower_339
库珀天锦章	flower_322
青鸟寿	flower_216
康兔子	flower_266
松虫	flower_301
银边四海波	flower_287
春衣	flower_249
红稚儿	flower_207
白花章鱼爪	flower_154
紫章	flower_208
神玉	flower_155
花叶寒月夜	flower_298
芳香波	flower_211
金钮	flower_338
神刀	flower_293
江守玉	flower_167
姬牡丹	flower_30
落花之舞	flower_280
九轮塔	flower_289
黄雪光	flower_197
佛头玉	flower_176
绒针	flower_192
紫王子	flower_1953
琉璃殿	flower_288
虹之玉锦	flower_337
猩猩球	flower_1491
御旗	flower_133
十字星锦	flower_5
蜡牡丹	flower_159
花盛球	flower_306
白银寿	flower_214
千佛手	flower_294
天狗之舞	flower_204
藻铃玉	flower_58
高砂之翁	flower_31
福娘	flower_296
白龙球	flower_100
花月夜	flower_1946
美丽莲	flower_3
鹿角柱	flower_93
露娜莲	flower_972
长刺武藏野	flower_1496
韧锦	flower_173
三角琉璃莲	flower_218
短毛球	flower_305
龙女冠	flower_130
武伦柱	flower_1492
翠晃冠	flower_196
玉牛掌	flower_182
美花角	flower_91
泥鳅掌	flower_183
章鱼	flower_279
眩美玉	flower_198
秘鲁天伦柱	flower_272
雷童	flower_194
蓝黛莲	flower_6
方鳞绿塔	flower_195
女王花笠	flower_275
富士	flower_297
锦司晃	flower_331
姬胧月锦	flower_109
英冠玉	flower_203
莺鸣玉	flower_186
黄翁	flower_202
垂花水塔花	flower_629
仙女杯	flower_1761
白闪冠	flower_277
唐扇	flower_326
若歌诗	flower_193
粉紫重瓣木槿	flower_971
朝雾阁	flower_1493
多肉灯泡	flower_219
斑马芦荟	flower_990
红彩阁	flower_1763
盘叶莲花掌	flower_321
将军阁	flower_181
白毛蛇	flower_141
小花龙舌兰花	flower_320
吹雪柱	flower_184
快刀乱麻	flower_292
葡萄	flower_276
子孙球	flower_2062
黄金钮	flower_185
黛比	flower_283
姬将军	flower_179
布纹球	flower_250
万象	flower_213
美叶光萼荷	flower_631
八千代	flower_1486
卷绢	flower_111
若绿	flower_1923
钱串景天	flower_206
碧玉莲	flower_4
豹纹竹芋	flower_1806
眼镜蛇瓶子草	flower_352
金星	flower_129
香水塔花	flower_632
王玉珠帘	flower_215
初恋	flower_1949
姬红小松	flower_973
蓝柱	flower_2076
茶柱	flower_1494
金纽仙人鞭	flower_200
芙蓉雪莲	flower_1760
姬珊瑚	flower_160
花叶蔓	flower_1107
美丽竹芋	flower_1802
花叶竹芋	flower_1803
红艳辉	flower_976
春峰	flower_2046
黄瓶子草	flower_351
万重山	flower_2067
双线竹芋	flower_1816
白蝶兰	flower_162
红缘莲花掌	flower_1861
彩叶吊兰	flower_10
黄花照波	flower_191
麒麟掌	flower_285
中斑莲花掌	flower_46
白斑玉露	flower_210
霸王树	flower_115
白凤菊	flower_1240
彩春峰	flower_168
鹰爪十二卷	flower_310
乙女心	flower_2015
美吉寿	flower_36
青锁龙	flower_1898
大和锦	flower_311
金手指	flower_1490
银冠玉	flower_1489
惠比须笑	flower_178
量天尺花	flower_165
日轮玉	flower_33
白脉椒草	flower_1813
墨西哥铁树	flower_1871
姬星美人	flower_1269
大龙冠	flower_132
薄雪万年草	flower_2075
鸡冠掌	flower_52
黄金花月	flower_209
玉蝶	flower_610
玉吊钟	flower_324
不夜城芦荟	flower_300
