flower_name	flower_id
黄金藤	flower_1731
金边吊兰	flower_1742
海菜花	flower_938
金棒花	flower_940
宽叶皇冠	flower_1753
观音竹	flower_1755
百合竹	flower_2045
水鳖	flower_981
白雪公主	flower_1769
红睡莲	flower_1010
新几内亚凤仙	flower_1023
姜荷花	flower_1079
芙蓉莲	flower_1789
红网纹草	flower_1805
皱叶冷水花	flower_1815
双线竹芋	flower_1816
皱叶椒草	flower_1159
蟆叶秋海棠	flower_1162
矮文竹	flower_17
西瓜皮椒草	flower_1824
果子蔓	flower_1168
水培吊兰	flower_1828
龙竹	flower_1830
人参榕	flower_1831
澳洲杉	flower_1832
洋桔梗	flower_1188
罗勒	flower_455
绿宝	flower_1840
小雏菊	flower_1191
黑珍珠	flower_1841
路易十四玫瑰	flower_456
水培红掌	flower_1202
金心吊兰	flower_1842
滴水观音	flower_1266
金钻	flower_1866
鸡冠掌	flower_52
帝王寿	flower_80
红宫廷	flower_82
绿宫廷	flower_83
水翁	flower_835
狐尾藻	flower_84
雨久花	flower_1362
再力花	flower_85
福禄桐	flower_1880
台湾竹	flower_89
香彩雀	flower_90
水榕	flower_2061
垂枝藓	flower_95
子孙球	flower_2062
莫丝	flower_101
绿菊花	flower_2063
宫廷草	flower_102
绿球藻	flower_2064
鹿角苔	flower_2065
矮珍珠	flower_2066
铁皇冠	flower_104
三叶草	flower_106
水晶莲	flower_1889
朱兰	flower_838
竹叶兰	flower_120
串铃花	flower_121
瑞香	flower_123
金鱼吊兰	flower_127
龙女冠	flower_130
吊竹梅	flower_136
鸢尾草	flower_143
满江红	flower_2069
蓝雪花	flower_1391
肖竹芋	flower_147
莲花竹	flower_1900
转运竹	flower_148
粉蝶花	flower_532
紫云英	flower_1401
对兰	flower_534
瓦松	flower_158
花烟草	flower_536
白蝶兰	flower_162
鹭草	flower_163
葡萄风信子	flower_540
将军柱	flower_180
将军阁	flower_181
莺鸣玉	flower_186
菜豆树	flower_1409
大扁竹兰	flower_541
海石竹	flower_224
紫萼	flower_1424
四海波	flower_225
花毛莨'	flower_548
香水草	flower_550
蓝目菊	flower_1429
夏堇	flower_229
醉鱼草	flower_553
凤眼莲	flower_1431
野牡丹	flower_555
蝴蝶兰花	flower_231
九里香	flower_557
花叶络石	flower_1434
络石	flower_234
锦带花	flower_558
紫番红花	flower_559
鹿角海棠	flower_1440
萱草	flower_1443
梭鱼草	flower_1444
龙舌兰	flower_1907
火绒草	flower_1449
喜林芋	flower_1909
布纹球	flower_250
常青藤	flower_253
紫竹梅	flower_570
一年蓬	flower_259
雁来红	flower_1911
玉唇花	flower_571
红星凤梨	flower_572
凌霄花	flower_263
黄玫瑰	flower_574
还亮草	flower_581
花南星	flower_268
虎皮花	flower_582
大花芙蓉葵	flower_586
令箭荷花	flower_281
不夜城芦荟	flower_300
矮紫苞鸢尾	flower_1470
葱莲	flower_606
兰花	flower_622
宿根肋柱花	flower_1498
美叶光萼荷	flower_631
香水塔花	flower_632
凤梨花	flower_1499
冰灯玉露	flower_345
狸藻	flower_1526
囊泡貉藻	flower_349
水蕨	flower_1965
荸荠	flower_1969
粗梗水蕨	flower_1970
菖蒲	flower_670
波浪椒草	flower_1971
波浪草	flower_1972
水兰	flower_2079
宝塔草	flower_2080
千屈菜	flower_680
百叶草	flower_1974
皇冠草	flower_1535
矮慈姑	flower_1536
埃及莎草	flower_1537
香雪球	flower_682
孔雀草	flower_683
大花惠兰	flower_1551
兜兰	flower_1554
扇贝兰	flower_1563
卡特兰	flower_1565
文心兰	flower_1566
芦苇	flower_1569
荷花	flower_1590
美人蕉	flower_715
春剑	flower_718
彩叶草	flower_363
大丽花	flower_367
金钱草	flower_2000
积雪草	flower_2001
铜钱草	flower_368
白肋朱顶红	flower_1609
花朱顶红	flower_1610
朱顶红	flower_1611
一叶兰	flower_1634
睡莲	flower_1639
郁金香	flower_1651
水仙	flower_1652
马蹄莲	flower_1653
富贵竹	flower_2033
巴西木	flower_2034
百合	flower_1656
绿萝	flower_2036
君子兰	flower_2037
吊兰	flower_1657
虎尾兰	flower_2038
密叶朱蕉	flower_2039
发财树	flower_380
白鹤芋	flower_1658
飞燕草	flower_381
矢车菊	flower_737
