flower_name	flower_id
微型月季	flower_911
亚洲百合	flower_924
叶上黄金	flower_930
七星花	flower_1034
黄歧花凤梨	flower_1125
素心兰	flower_430
首案红	flower_1139
金粟兰	flower_440
美人梅	flower_444
银心吊兰	flower_1844
粉掌	flower_475
宋梅	flower_477
南美水仙	flower_480
紫娇花	flower_481
紫芳草	flower_482
蓝石蒜	flower_1249
瓷玫瑰	flower_39
紫根兰	flower_1281
雪滴花	flower_41
彩虹菊	flower_1301
蛾蝶花	flower_48
伽蓝菜	flower_56
花贝母	flower_1334
香花球兰	flower_60
孩儿莲	flower_1337
驴蹄草	flower_1339
螃蟹花	flower_1340
美花兰	flower_508
彩虹玫瑰	flower_65
姬瞿麦	flower_67
垂笑君子兰	flower_1343
墙下红	flower_511
金银木	flower_512
黄金凤	flower_1348
木香	flower_1351
粉藤	flower_68
刺槐	flower_69
龙女花	flower_515
网球花	flower_72
猫尾红	flower_73
露薇花	flower_516
富贵树	flower_88
帝王贝母	flower_517
红枝蒲桃	flower_1364
红继木	flower_1882
一摸香	flower_103
四叶草	flower_105
三叶草	flower_106
蓝香芥	flower_1374
银苞芋	flower_1375
红雀珊瑚	flower_114
丝兰	flower_119
串铃花	flower_121
千鸟花	flower_122
瑞香	flower_123
摇钱树	flower_126
平安树	flower_1893
虾脊兰	flower_131
指甲兰	flower_524
鸢尾兰	flower_134
吊竹梅	flower_136
紫露草	flower_526
爆仗竹	flower_527
金钱树	flower_139
鸢尾草	flower_143
蓝蝴蝶	flower_144
肖竹芋	flower_147
莲花竹	flower_1900
转运竹	flower_148
香堇	flower_1394
豹斑火焰兰	flower_151
幌菊	flower_531
粉蝶花	flower_532
翠云草	flower_1901
对兰	flower_534
樱花草	flower_535
花烟草	flower_536
火烧兰	flower_161
白蝶兰	flower_162
鹭草	flower_163
雷童	flower_194
方鳞绿塔	flower_195
红花风铃木	flower_1412
大扁竹兰	flower_541
碧玉兰	flower_542
红鸡蛋花	flower_220
火焰兰	flower_221
火烧花	flower_1415
马利筋	flower_544
珊瑚藤	flower_1420
大花葱	flower_223
花菱草	flower_1423
海石竹	flower_224
紫萼	flower_1424
悬铃花	flower_1425
四海波	flower_225
花毛莨'	flower_548
松红梅	flower_549
香水草	flower_550
假苹婆	flower_226
狗牙花	flower_552
蓝目菊	flower_1429
夏堇	flower_229
醉鱼草	flower_553
琴叶珊瑚	flower_554
野牡丹	flower_555
蝴蝶兰花	flower_231
梨花	flower_556
九里香	flower_557
花叶络石	flower_1434
结香	flower_233
络石	flower_234
红千层	flower_235
凤尾兰	flower_1436
锦带花	flower_558
紫番红花	flower_559
鸳鸯茉莉	flower_237
禾雀花	flower_238
油菜花	flower_847
鹿角海棠	flower_1440
宫灯百合	flower_243
鲁冰花	flower_1442
萱草	flower_1443
炮仗花	flower_1446
长春花	flower_564
雪松	flower_1906
金达莱	flower_1448
橄榄花	flower_850
毛蟹爪兰	flower_566
红鸟蕉	flower_247
红蕉	flower_1450
嘉兰	flower_567
吊灯花	flower_248
嘉德兰	flower_568
金嘴鹤蕉	flower_251
龙吐珠	flower_252
彩叶凤梨	flower_258
紫竹梅	flower_570
万带兰	flower_262
马兰花	flower_575
康乃馨	flower_599
菊花	flower_600
玉吊钟	flower_324
木百合	flower_1480
帝王花	flower_616
萍蓬草	flower_336
垂花水塔花	flower_629
丹尼斯凤梨	flower_630
岩桐	flower_1534
仙丹花	flower_698
金桔	flower_866
大岩桐	flower_1592
勿忘我	flower_720
彩叶草	flower_363
四季桔	flower_872
小丽花	flower_1605
大丽花	flower_367
紫凤梨	flower_1620
翡翠珠	flower_370
散尾葵	flower_2021
夜来香	flower_733
郁金香	flower_1651
玫瑰	flower_735
吊兰	flower_1657
飞燕草	flower_381
梅花	flower_744
桂竹香	flower_745
牡丹	flower_1696
长寿花	flower_1711
月季	flower_749
紫茉莉	flower_750
天人菊	flower_762
向日葵	flower_1724
