flower_name	flower_id
荷花蔷薇	flower_884
七姊妹	flower_885
红花玉芙蓉	flower_886
珊瑚花凤梨	flower_887
冰娇	flower_888
黄金庆典	flower_889
荷花玉兰	flower_890
盾叶天竺葵	flower_891
马蹄纹天竺葵	flower_892
银边天竺葵	flower_893
龙沙宝石	flower_894
玩具熊向日葵	flower_895
长寿海棠	flower_896
猴欢喜	flower_897
胭脂木	flower_898
香雪兰	flower_899
小木槿	flower_900
鸢尾蒜	flower_901
莱克夫人	flower_902
金丝雀	flower_903
威斯利2008	flower_385
欧月	flower_904
虎头茉莉	flower_905
洋紫荆	flower_906
丛生风铃草	flower_907
铃之妖精	flower_386
无限公主	flower_908
躲躲藏藏	flower_909
藤本月季	flower_910
微型月季	flower_911
小叶栀子	flower_387
马蔺	flower_388
三色竹芋	flower_912
花柱草	flower_913
石碱草	flower_914
艳红鹿子百合	flower_915
白玫瑰	flower_916
红花烟草	flower_917
鳞托菊	flower_918
焦藕	flower_919
车轴草	flower_920
大黄花	flower_921
五色苋	flower_922
羽扇豆	flower_923
亚洲百合	flower_924
五节芒	flower_925
白雪花	flower_926
大花剪秋罗	flower_927
电灯花	flower_928
秋海棠花	flower_929
叶上黄金	flower_930
青荚叶	flower_931
圆锥石头花	flower_932
大花皇冠	flower_933
白掌	flower_934
令箭花	flower_935
苹果花	flower_936
无尽夏	flower_937
扬州琼花	flower_397
海菜花	flower_938
毛草龙	flower_939
金棒花	flower_940
红花油茶	flower_941
凤梨兰	flower_942
千叶蓍	flower_943
夏蜡梅	flower_944
黄玉兰花	flower_945
金玉兰	flower_946
双色茉莉	flower_398
三弄芙蓉	flower_947
格桑花	flower_948
大雪兰	flower_949
果香兰	flower_950
落叶兰	flower_951
冬凤兰	flower_952
莎叶兰	flower_953
垂花兰	flower_954
硬叶兰	flower_955
纹瓣兰	flower_956
斑舌兰	flower_399
藤牡丹	flower_957
黄桷兰	flower_958
番荔枝	flower_778
胡椒薄荷	flower_400
唇萼薄荷	flower_401
醉碟草	flower_959
大吴风草	flower_960
尖叶四照花	flower_961
翠一品	flower_402
翠盖荷	flower_962
汪字	flower_963
龙字	flower_964
西神梅	flower_965
大根兰	flower_966
山梅花	flower_967
卓越猪笼草	flower_968
垂枝大叶早樱	flower_969
红花龙胆	flower_970
粉紫重瓣木槿	flower_971
露娜莲	flower_972
玉龙观音	flower_403
姬红小松	flower_973
大叶落地生根	flower_0
鲁氏石莲花	flower_974
美丽莲	flower_3
碧玉莲	flower_4
朱莲	flower_7
松霞	flower_8
梨果仙人掌	flower_975
红艳辉	flower_976
奔龙	flower_977
大花线柱兰	flower_978
海仙报春	flower_979
海仙花	flower_980
水鳖	flower_981
慈姑	flower_982
泽泻	flower_983
匍枝毛茛	flower_984
宫灯长寿花	flower_985
繁穗苋	flower_986
大花鸡肉参	flower_987
蔓性风铃花	flower_9
红花茜草	flower_988
紫叶酢浆草	flower_989
斑马芦荟	flower_990
聚合草	flower_991
缬草	flower_992
红花锦鸡儿	flower_993
黄绿贝母兰	flower_405
鹅掌草	flower_994
大花蓝盆花	flower_995
广布红门兰	flower_996
红花文殊兰	flower_406
红花蕊木	flower_997
红花石斛	flower_998
紫叶小檗	flower_779
大白杜鹃	flower_999
单瓣黄刺玫	flower_1000
达乌里黄耆	flower_1001
齿缘吊钟花	flower_1002
瓣蕊唐松草	flower_1003
吊灯扶桑	flower_1004
白花夹竹桃	flower_407
橙红茑萝	flower_1005
半钟铁线莲	flower_1006
白马蹄莲	flower_1007
垂枝樱花	flower_1008
大花威灵仙	flower_1009
红睡莲	flower_1010
二乔木兰	flower_1011
华北耧斗菜	flower_1012
凤丹	flower_1013
