flower_name	flower_id
藤牡丹	flower_957
黄桷兰	flower_958
百合竹	flower_2045
碧玉莲	flower_4
松霞	flower_8
七星花	flower_1034
白檀	flower_1041
佛肚树	flower_1048
豆豆兰	flower_13
孔唇兰	flower_420
台兰	flower_1066
黄刺玫	flower_1084
花叶蔓	flower_1107
乳源木莲	flower_1111
黄歧花凤梨	flower_1125
素心兰	flower_430
剑龙角	flower_1797
扶芳藤	flower_1808
天门冬	flower_16
矮文竹	flower_17
红边椒草	flower_1825
金粟兰	flower_440
鸡爪兰	flower_1166
鱼香叶	flower_1827
龙竹	flower_1830
人参榕	flower_1831
淡竹叶	flower_1185
绯牡丹	flower_1195
帝冠	flower_1196
帝玉	flower_1197
多棱球	flower_18
春峰	flower_2046
蓝松	flower_19
巨鹫玉	flower_459
银手指	flower_20
锦上珠	flower_21
无花果	flower_816
雯心草	flower_23
鹿葱	flower_1204
青龙草	flower_2047
大花老鸦嘴	flower_1208
锦屏藤	flower_1210
王妃藤	flower_1211
猴面包树	flower_2048
红宝石海棠	flower_1215
紫边碧玉	flower_1847
足茎毛兰	flower_466
钳唇兰	flower_1218
黄绒毛兰	flower_467
竹枝毛兰	flower_468
杜鹃兰	flower_1219
腋唇兰	flower_469
匙唇兰	flower_471
风兰	flower_472
象鼻兰	flower_1222
莎草兰	flower_821
独占春	flower_473
金丝梅	flower_822
石仙桃	flower_2049
宋梅	flower_477
花楸	flower_823
粉花绣线菊	flower_1227
青岛百合	flower_2050
红花七叶树	flower_1230
油点百合	flower_29
圣诞百合	flower_1232
美丽百合	flower_1233
娜丽花	flower_479
雾冰玉	flower_1234
立金花	flower_1235
姬牡丹	flower_30
仙人镜	flower_2051
白毛掌	flower_1849
黄毛掌	flower_32
白凤菊	flower_1240
日轮玉	flower_33
小红嘴	flower_34
多肉紫牡丹	flower_35
千代田之松	flower_1241
铭月	flower_1242
美吉寿	flower_36
艾草	flower_2052
海角樱草	flower_1245
南美水仙	flower_480
蓝石蒜	flower_1249
超兜	flower_1250
星兜	flower_1251
花笼	flower_483
蛇根木	flower_2299
肉苁蓉	flower_37
紫背草	flower_1252
半日花	flower_1253
水青树	flower_1257
蓝刺头	flower_1258
银扇草	flower_485
老虎须	flower_38
蝎尾蕉	flower_1261
瓷玫瑰	flower_39
幌伞枫	flower_828
夏雪片莲	flower_1263
补血草	flower_1265
孝顺竹	flower_1851
蓝丁香	flower_486
滴水观音	flower_1266
金娃娃萱草	flower_1267
大姬星美人	flower_1268
姬星美人	flower_1269
旋叶姬星美人	flower_1270
泥花草	flower_1271
倒提壶	flower_1275
紫苑花	flower_1277
繁缕花	flower_1279
青兰	flower_2053
紫根兰	flower_1281
月美人	flower_1282
缫丝花	flower_1283
欧丁香	flower_1285
百脉根	flower_1288
叶下珠	flower_2054
红球姜	flower_1291
水黄皮	flower_1292
黄海棠	flower_831
高雪轮	flower_1293
雪滴花	flower_41
开口箭	flower_832
彩虹菊	flower_1301
雅乐之华	flower_1852
五彩千年木	flower_2055
马约兰	flower_1854
红三叶	flower_1305
子持白莲	flower_1307
黑兔耳	flower_1855
福兔耳	flower_43
千兔耳	flower_1856
凝脂莲	flower_1308
月宫殿	flower_1309
草玉露	flower_1857
神想曲	flower_2056
红丁香	flower_495
冬红	flower_44
青星美人	flower_45
丽娜莲	flower_1862
中斑莲花掌	flower_46
非洲冰草	flower_2057
冰草	flower_2058
丝叶狸藻	flower_1323
蓝亚麻	flower_1329
芦荟女王	flower_2059
厚脸皮	flower_1330
万年麻	flower_1863
红帝王	flower_1867
樱水晶	flower_50
蒂亚	flower_51
雨心	flower_1873
鸡冠掌	flower_52
笋兰	flower_500
龙鳞	flower_1874
春之奇迹	flower_53
爱染锦	flower_54
小红衣	flower_55
伽蓝菜	flower_56
金栗兰	flower_501
花贝母	flower_1334
百香果	flower_59
卜若地	flower_1338
湿唇兰	flower_62
鹦鹉花	flower_63
舌唇兰	flower_64
盘龙参	flower_506
宽叶红门兰	flower_1341
美花兰	flower_508
意大利红门兰	flower_66
姬瞿麦	flower_67
垂笑君子兰	flower_1343
蝇子草	flower_1345
粉藤	flower_68
瑞云	flower_70
芭蕉	flower_1875
艾菊	flower_1354
绿帝王	flower_1876
鲸鱼花	flower_71
网球花	flower_72
狗尾红	flower_1356
落新妇	flower_1357
露薇花	flower_516
六倍利	flower_75
彩星花	flower_76
红鳞蒲桃	flower_77
胡枝子	flower_1358
石上藕	flower_78
夕雾	flower_79
帝王寿	flower_80
金丝柳	flower_1878
千层金	flower_2060
珍珠草	flower_81
红柳	flower_1360
黄金柳	flower_1879
红宫廷	flower_82
绿宫廷	flower_83
狐尾藻	flower_84
雨久花	flower_1362
翠芦莉	flower_1363
再力花	flower_85
福禄桐	flower_1880
蓬莱松	flower_86
白千层	flower_87
富贵树	flower_88
帝王贝母	flower_517
台湾竹	flower_89
红枝蒲桃	flower_1364
香彩雀	flower_90
美花角	flower_91
青王丸	flower_1365
圣王丸	flower_92
鹿角柱	flower_93
水榕	flower_2061
猫眼草	flower_94
垂枝藓	flower_95
美人树	flower_97
松萝	flower_98
空气凤梨	flower_99
龙血树	flower_518
竹柏	flower_1881
红继木	flower_1882
子孙球	flower_2062
小叶榄仁	flower_1883
白龙球	flower_100
莫丝	flower_101
绿菊花	flower_2063
宫廷草	flower_102
绿球藻	flower_2064
鹿角苔	flower_2065
矮珍珠	flower_2066
一摸香	flower_103
清香木	flower_519
元宝树	flower_1885
翡翠木	flower_1886
铁皇冠	flower_104
香榧	flower_836
万重山	flower_2067
泽漆	flower_1371
夏至草	flower_2068
落地生根	flower_107
紫苏	flower_1887
红豆杉	flower_1888
蓝香芥	flower_1374
水晶莲	flower_1889
银苞芋	flower_1375
金钱木	flower_110
南庭芥	flower_520
心叶藤	flower_1890
卷绢	flower_111
吉祥草	flower_1380
半夏	flower_113
红雀珊瑚	flower_114
霸王树	flower_115
棒槌树	flower_116
山竹	flower_117
节节草	flower_118
朱兰	flower_838
丝兰	flower_119
竹叶兰	flower_120
槭树	flower_1892
枫香	flower_521
串铃花	flower_121
千鸟花	flower_122
青葙	flower_124
谷精草	flower_125
摇钱树	flower_126
甘露子	flower_1383
金鱼吊兰	flower_127
平安树	flower_1893
千鸟草	flower_128
金星	flower_129
龙女冠	flower_130
虾脊兰	flower_131
御旗	flower_133
指甲兰	flower_524
鸢尾兰	flower_134
吊竹梅	flower_136
紫露草	flower_526
爆仗竹	flower_527
金钱树	flower_139
白毛蛇	flower_141
金毛狗蕨	flower_142
鸢尾草	flower_143
茜草	flower_1896
满江红	flower_2069
蓝蝴蝶	flower_144
网纹草	flower_146
紫背竹芋	flower_1897
肖竹芋	flower_147
莲花竹	flower_1900
转运竹	flower_148
薄荷	flower_529
双花堇菜	flower_1393
鸡血藤	flower_2070
鸡骨草	flower_2071
繁缕	flower_149
云南火焰兰	flower_150
豹斑火焰兰	flower_151
黄堇	flower_1400
幌菊	flower_531
灯笼泡	flower_157
留兰香	flower_533
翠云草	flower_1901
阿魏	flower_2072
紫云英	flower_1401
对兰	flower_534
瓦松	flower_158
樱花草	flower_535
火烧兰	flower_161
白蝶兰	flower_162
鹭草	flower_163
莲叶点地梅	flower_1404
紫堇	flower_164
量天尺花	flower_165
彩春峰	flower_168
山影拳	flower_169
宝华玉兰	flower_537
白马城	flower_172
喜林草	flower_174
佛头玉	flower_176
惠比须笑	flower_178
姬将军	flower_179
将军柱	flower_180
将军阁	flower_181
玉牛掌	flower_182
泥鳅掌	flower_183
吹雪柱	flower_184
黄金钮	flower_185
莺鸣玉	flower_186
岩牡丹	flower_187
巴西龙骨	flower_188
彩云阁	flower_189
花龙骨	flower_190
黄花照波	flower_191
雷童	flower_194
方鳞绿塔	flower_195
翠晃冠	flower_196
黄雪光	flower_197
眩美玉	flower_198
旋风麒麟	flower_199
金纽仙人鞭	flower_200
翁柱	flower_201
黄翁	flower_202
天狗之舞	flower_204
串钱藤	flower_205
玉树花	flower_1410
黄金花月	flower_209
白斑玉露	flower_210
芳香波	flower_211
小球玫瑰	flower_212
万象	flower_213
王玉珠帘	flower_215
红花风铃木	flower_1412
澳洲火焰木	flower_1413
霍香蓟	flower_1414
大扁竹兰	flower_541
碧玉兰	flower_542
红鸡蛋花	flower_220
火焰兰	flower_221
火烧花	flower_1415
马利筋	flower_544
小冠花	flower_1418
珊瑚藤	flower_1420
银合欢	flower_1421
猬实	flower_1422
大花葱	flower_223
翠雀	flower_547
花菱草	flower_1423
海芒果	flower_843
假酸浆	flower_844
海石竹	flower_224
紫萼	flower_1424
悬铃花	flower_1425
花毛莨'	flower_548
松红梅	flower_549
鸡矢藤	flower_1426
云实	flower_1427
活血丹	flower_1428
狗牙花	flower_552
蓝目菊	flower_1429
红蓼	flower_227
锦鸡儿	flower_228
夏堇	flower_229
串钱柳	flower_1430
凤眼莲	flower_1431
琴叶珊瑚	flower_554
黄花风铃木	flower_1432
火焰木	flower_1433
梨花	flower_556
蓟	flower_232
九里香	flower_557
结香	flower_233
络石	flower_234
凤尾兰	flower_1436
鸳鸯茉莉	flower_237
禾雀花	flower_238
五爪金龙	flower_1438
十大功劳	flower_239
葛根花	flower_846
油菜花	flower_847
藏红花	flower_1439
鹿角海棠	flower_1440
虎刺梅	flower_1441
桉树花	flower_560
角蜂眉兰	flower_240
猴面小龙兰	flower_241
宫灯百合	flower_243
鲁冰花	flower_1442
萱草	flower_1443
梭鱼草	flower_1444
珍珠梅	flower_563
棣棠花	flower_1445
炮仗花	flower_1446
红瑞木	flower_849
金樱子	flower_245
迷迭香	flower_565
雪松	flower_1906
龙舌兰	flower_1907
橄榄花	flower_850
火绒草	flower_1449
驱蚊草	flower_1908
喜林芋	flower_1909
红鸟蕉	flower_247
红蕉	flower_1450
嘉兰	flower_567
吊灯花	flower_248
春衣	flower_249
彩云球	flower_2073
布纹球	flower_250
嘉德兰	flower_568
金嘴鹤蕉	flower_251
藤茄	flower_569
龙吐珠	flower_252
常青藤	flower_253
扇蕨	flower_254
连珠蕨	flower_255
鹿角蕨	flower_256
矮仙丹	flower_851
矮樱	flower_1451
彩叶凤梨	flower_258
紫竹梅	flower_570
泽兰	flower_1452
一年蓬	flower_259
咬人猫	flower_260
一枝香	flower_261
雁来红	flower_1911
一点红	flower_1453
红星凤梨	flower_572
万带兰	flower_262
凌霄花	flower_263
节节花	flower_1455
千日红	flower_264
蔓花生	flower_1456
金百合	flower_573
黄玫瑰	flower_574
马兰花	flower_575
蓝盆花	flower_576
金钮扣	flower_577
金鱼草	flower_267
锦葵	flower_580
还亮草	flower_581
虎皮花	flower_582
画眉草	flower_270
火星花	flower_1459
火炬花	flower_1460
虎杖	flower_1913
饭包草	flower_585
鳳凰蕨	flower_1914
佛肚竹	flower_1915
大狼毒	flower_1462
大百合	flower_1463
地锦草	flower_1916
大滨菊	flower_1464
白纹竹芋	flower_1918
百里香	flower_591
山地玫瑰	flower_271
念珠藤	flower_853
骆驼刺	flower_1919
中间锦鸡儿	flower_592
秘鲁天伦柱	flower_272
瓦勒迈杉	flower_1920
姬秋丽	flower_1467
落花之舞	flower_280
令箭荷花	flower_281
金麒麟花	flower_282
麒麟掌	flower_285
七宝树	flower_290
宝莲花	flower_595
白花丹	flower_857
贝壳花	flower_596
矮紫苞鸢尾	flower_1470
鸾凤玉	flower_304
短毛球	flower_305
